ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
Apurimac-49_exceptional-1,,Apurimac,49_exceptional,yku ,yku,j k u,,camacho2006,,,^ y k u $,Apurimac
Apurimac-50_exclusive-1,,Apurimac,50_exclusive,pura ,pura,p u r a,,camacho2006,,,^ p u r a $,Apurimac
Apurimac-53_genitive-1,,Apurimac,53_genitive,pa ,pa,p a,,camacho2006,,,^ p a $,Apurimac
Apurimac-55_inceptive-1,,Apurimac,55_inceptive,ri ,ri,r i,,camacho2006,,,^ r i $,Apurimac
Apurimac-56_inchoative-1,,Apurimac,56_inchoative,ya ,ya,j a,,camacho2006,,,^ y a $,Apurimac
Apurimac-57_inclusive-1,,Apurimac,57_inclusive,ntin ,ntin,n t i n,,camacho2006,,,^ n t i n $,Apurimac
Apurimac-58_infinitive-1,,Apurimac,58_infinitive,y ,y,j,,camacho2006,,,^ y $,Apurimac
Apurimac-59_injunctive-1,,Apurimac,59_injunctive,"chunku, y, ychis ",chunku,tʃ u n k u,,camacho2006,,,^ ch u n k u $,Apurimac
Apurimac-59_injunctive-2,,Apurimac,59_injunctive,"chunku, y, ychis ",y,j,,camacho2006,,,^ y $,Apurimac
Apurimac-59_injunctive-3,,Apurimac,59_injunctive,"chunku, y, ychis ",ychis,j tʃ i s,,camacho2006,,,^ y ch i s $,Apurimac
Apurimac-60_instrumentalcomitative-1,,Apurimac,60_instrumentalcomitative,wan,wan,w a n,,camacho2006,,,^ w a n $,Apurimac
Apurimac-65_locative-1,,Apurimac,65_locative,pi ,pi,p i,,camacho2006,,,^ p i $,Apurimac
Apurimac-66_middlevoice-1,,Apurimac,66_middlevoice,ku ,ku,k u,,camacho2006,,,^ k u $,Apurimac
Apurimac-67_multiplepossessive-1,,Apurimac,67_multiplepossessive,sapa ,sapa,s a p a,,camacho2006,,,^ s a p a $,Apurimac
Apurimac-69_negation-1,,Apurimac,69_negation,chu ,chu,tʃ u,,camacho2006,,,^ ch u $,Apurimac
Apurimac-70_nominalizerna-1,,Apurimac,70_nominalizerna,na ,na,n a,Concretizador,camacho2006,,,^ n a $,Apurimac
Apurimac-74_pasttense-1,,Apurimac,74_pasttense,rqa ,rqa,r q a,,camacho2006,,,^ r q a $,Apurimac
Apurimac-109_pecunial-1,,Apurimac,109_pecunial,ral ,ral,r a l,,camacho2006,,,^ r a l $,Apurimac
Apurimac-75_perfect-1,,Apurimac,75_perfect,sqa ,sqa,s q a,,camacho2006,,,^ s q a $,Apurimac
Apurimac-76_perfectivizer-1,,Apurimac,76_perfectivizer,sqa,sqa,s q a,,camacho2006,,,^ s q a $,Apurimac
