DOCULECT	FORM	SOURCE
Ferrenafe	ti 	taylor1982
Ferrenafe	qa	taylor1982
Ferrenafe	ghapa	taylor1982
Huallaga	man	weber1996
Huallaga	ma 	weber1996
Huallaga	kuna	weber1996
Huallaga	nči,ninči, niːkuna	weber1996
Huallaga	nči	weber1996
Huallaga	šwan	weber1996
Huallaga	šun 	weber1996
Huallaga	tantaː	weber1996
Huallaga	šayki	weber1996
Huallaga	kaː	weber1996
Huallaga	šaq	weber1996
Huallaga	nkiman	weber1996
Huallaga	šu 	weber1996
Huallaga	yki	weber1996
Huallaga	manki	weber1996
Huallaga	nki	weber1996
Huallaga	nqa	weber1996
Huallaga	n	weber1996
Huallaga	manči	weber1996
Huallaga	maːšun	weber1996
Huallaga	man	weber1996
Huallaga	šunki	weber1996
Huallaga	n	weber1996
Huallaga	pita	weber1996
Huallaga	ši	weber1996
Huallaga	ta	weber1996
Huallaga	pis,si	weber1996
Huallaga	q	weber1996
Huallaga	q	weber1996
Huallaga	paq	weber1996
Huallaga	paq,paː/pa	weber1996
Huallaga	taq,raq	weber1996
Huallaga	či	weber1996
Huallaga	mu	weber1996
Huallaga	mu	weber1996
Huallaga	niraq, naw	weber1996
Huallaga	kaːku	weber1996
Huallaga	čaku 	weber1996
Huallaga	man	weber1996
Huallaga	raː,rpa	weber1996
Huallaga	raq,ran	weber1996
